Target Table,Target Column,Layer,Mapping Type,QlikView Expression,Snowflake SQL,Ultimate Sources,Needs Review,Notes
common__join54,FCT_year,staging,constant,"'20' & left(SubField(FileLocationName(),'_',2),2)","'20' || LEFT(SPLIT_PART(/* TODO review */ FileLocationName(), '_', 2), 2)",-,Yes,Function 'FileLocationName()' not in mapping - emitted verbatim; verify Snowflake compatibility.
common__join54,FCT_period,staging,constant,"Upper(right(SubField(FileLocationName(),'_',2),1))","UPPER(RIGHT(SPLIT_PART(/* TODO review */ FileLocationName(), '_', 2), 1))",-,Yes,Function 'FileLocationName()' not in mapping - emitted verbatim; verify Snowflake compatibility.
common__join54,FCT_CD,staging,direct,D,D,mikomi.D,,
common__join54,FCT1_1,staging,derived,"if(IsNull(G)=True(),0,G)",CASE WHEN G IS NULL=TRUE THEN 0 ELSE G END,mikomi.G,,
common__join54,FCT2_1,staging,derived,"if(IsNull(H)=True(),0,H)",CASE WHEN H IS NULL=TRUE THEN 0 ELSE H END,mikomi.H,,
common__join54,FCT1_2,staging,derived,"if(IsNull(L)=True(),0,L)",CASE WHEN L IS NULL=TRUE THEN 0 ELSE L END,mikomi.L,,
common__join54,FCT2_2,staging,derived,"if(IsNull(M)=True(),0,M)",CASE WHEN M IS NULL=TRUE THEN 0 ELSE M END,mikomi.M,,
common__join54,FCT1_3,staging,derived,"if(IsNull(Q)=True(),0,Q)",CASE WHEN Q IS NULL=TRUE THEN 0 ELSE Q END,mikomi.Q,,
common__join54,FCT2_3,staging,derived,"if(IsNull(R)=True(),0,R)",CASE WHEN R IS NULL=TRUE THEN 0 ELSE R END,mikomi.R,,
common__join54,FCT1_4,staging,derived,"if(IsNull(V)=True(),0,V)",CASE WHEN V IS NULL=TRUE THEN 0 ELSE V END,mikomi.V,,
common__join54,FCT2_4,staging,derived,"if(IsNull(W)=True(),0,W)",CASE WHEN W IS NULL=TRUE THEN 0 ELSE W END,mikomi.W,,
common__join54,FCT1_5,staging,derived,"if(IsNull(AA)=True(),0,AA)",CASE WHEN AA IS NULL=TRUE THEN 0 ELSE AA END,mikomi.AA,,
common__join54,FCT2_5,staging,derived,"if(IsNull(AB)=True(),0,AB)",CASE WHEN AB IS NULL=TRUE THEN 0 ELSE AB END,mikomi.AB,,
common__join54,FCT1_6,staging,derived,"if(IsNull(AF)=True(),0,AF)",CASE WHEN AF IS NULL=TRUE THEN 0 ELSE AF END,mikomi.AF,,
common__join54,FCT2_6,staging,derived,"if(IsNull(AG)=True(),0,AG)",CASE WHEN AG IS NULL=TRUE THEN 0 ELSE AG END,mikomi.AG,,
table_55,(common) FCT_ID,intermediate,derived,(common) FCT_ID,(common) FCT_ID,-,,
table_55,FCT_CD,intermediate,join,FCT_CD,FCT_CD,-,,
table_55,FCT_year,intermediate,join,FCT_year,FCT_year,-,,
table_55,_ FCT_period,intermediate,derived,_ FCT_period,_ FCT_period,-,,
table_55,FCT_month,intermediate,derived,"_ if(FCT_period = 'A',4,10)",_ CASE WHEN FCT_period = 'A' THEN 4 ELSE 10 END,-,,
table_55,"FCT_year & if(FCT_period = 'A','04','10') & FCT_CD as FCT_Year/ Month CD",intermediate,derived,"FCT_year & if(FCT_period = 'A','04','10') & FCT_CD as FCT_Year/ Month CD",FCT_year || CASE WHEN FCT_period = 'A' THEN '04' ELSE '10' END || FCT_CD as FCT_Year/ Month CD,-,,
table_55,FCT1_1 as FCT_ primary estimate,intermediate,derived,FCT1_1 as FCT_ primary estimate,FCT1_1 as FCT_ primary estimate,-,,
table_55,FCT2_1 as FCT_ Secondary estimate,intermediate,derived,FCT2_1 as FCT_ Secondary estimate,FCT2_1 as FCT_ Secondary estimate,-,,
table_55__join56,(common) FCT_ID,intermediate,derived,(common) FCT_ID,(common) FCT_ID,-,,
table_55__join56,FCT_CD,intermediate,direct,FCT_CD,FCT_CD,-,,
table_55__join56,FCT_year,intermediate,direct,FCT_year,FCT_year,-,,
table_55__join56,_ FCT_period,intermediate,derived,_ FCT_period,_ FCT_period,-,,
table_55__join56,FCT_month,intermediate,derived,"_ if(FCT_period = 'A',5,11)",_ CASE WHEN FCT_period = 'A' THEN 5 ELSE 11 END,-,,
table_55__join56,"FCT_year & if(FCT_period = 'A','05','11') & FCT_CD as FCT_Year/ Month CD",intermediate,derived,"FCT_year & if(FCT_period = 'A','05','11') & FCT_CD as FCT_Year/ Month CD",FCT_year || CASE WHEN FCT_period = 'A' THEN '05' ELSE '11' END || FCT_CD as FCT_Year/ Month CD,-,,
table_55__join56,FCT1_2 as FCT_ primary estimate,intermediate,derived,FCT1_2 as FCT_ primary estimate,FCT1_2 as FCT_ primary estimate,-,,
table_55__join56,FCT2_2 as FCT_ Secondary estimate,intermediate,derived,FCT2_2 as FCT_ Secondary estimate,FCT2_2 as FCT_ Secondary estimate,-,,
common__join57,FCT_ID,intermediate,direct,FCT_ID,FCT_ID,-,,
common__join57,FCT_CD,intermediate,direct,FCT_CD,FCT_CD,-,,
common__join57,FCT_year,intermediate,direct,FCT_year,FCT_year,-,,
common__join57,_ FCT_period,intermediate,derived,_ FCT_period,_ FCT_period,-,,
common__join57,FCT_month,intermediate,derived,"_ if(FCT_period = 'A',6,12)",_ CASE WHEN FCT_period = 'A' THEN 6 ELSE 12 END,-,,
common__join57,"FCT_year & if(FCT_period = 'A','06','12') & FCT_CD as FCT_Year/ Month CD",intermediate,derived,"FCT_year & if(FCT_period = 'A','06','12') & FCT_CD as FCT_Year/ Month CD",FCT_year || CASE WHEN FCT_period = 'A' THEN '06' ELSE '12' END || FCT_CD as FCT_Year/ Month CD,-,,
common__join57,FCT1_3 as FCT_ 1st estimate,intermediate,derived,FCT1_3 as FCT_ 1st estimate,FCT1_3 as FCT_ 1st estimate,-,,
common__join57,FCT2_3 as FCT_ Secondary estimate,intermediate,derived,FCT2_3 as FCT_ Secondary estimate,FCT2_3 as FCT_ Secondary estimate,-,,
common__join58,FCT_ID,intermediate,direct,FCT_ID,FCT_ID,-,,
common__join58,FCT_CD,intermediate,direct,FCT_CD,FCT_CD,-,,
common__join58,FCT_year,intermediate,direct,FCT_year,FCT_year,-,,
common__join58,_ FCT_period,intermediate,derived,_ FCT_period,_ FCT_period,-,,
common__join58,FCT_month,intermediate,derived,"_ if(FCT_period = 'A',7,1)",_ CASE WHEN FCT_period = 'A' THEN 7 ELSE 1 END,-,,
common__join58,"FCT_year & if(FCT_period = 'A','07','01') & FCT_CD as FCT_Year/ Month CD",intermediate,derived,"FCT_year & if(FCT_period = 'A','07','01') & FCT_CD as FCT_Year/ Month CD",FCT_year || CASE WHEN FCT_period = 'A' THEN '07' ELSE '01' END || FCT_CD as FCT_Year/ Month CD,-,,
common__join58,FCT1_4 as FCT_ 1st estimate,intermediate,derived,FCT1_4 as FCT_ 1st estimate,FCT1_4 as FCT_ 1st estimate,-,,
common__join58,FCT2_4 as FCT_ Secondary estimate,intermediate,derived,FCT2_4 as FCT_ Secondary estimate,FCT2_4 as FCT_ Secondary estimate,-,,
common__join59,FCT_ID,intermediate,direct,FCT_ID,FCT_ID,-,,
common__join59,FCT_CD,intermediate,direct,FCT_CD,FCT_CD,-,,
common__join59,FCT_year,intermediate,direct,FCT_year,FCT_year,-,,
common__join59,_ FCT_period,intermediate,derived,_ FCT_period,_ FCT_period,-,,
common__join59,FCT_month,intermediate,derived,"_ if(FCT_period = 'A',8,2)",_ CASE WHEN FCT_period = 'A' THEN 8 ELSE 2 END,-,,
common__join59,"FCT_year & if(FCT_period = 'A','08','02') & FCT_CD as FCT_Year/ Month CD",intermediate,derived,"FCT_year & if(FCT_period = 'A','08','02') & FCT_CD as FCT_Year/ Month CD",FCT_year || CASE WHEN FCT_period = 'A' THEN '08' ELSE '02' END || FCT_CD as FCT_Year/ Month CD,-,,
common__join59,FCT1_5 as FCT_ primary estimate,intermediate,derived,FCT1_5 as FCT_ primary estimate,FCT1_5 as FCT_ primary estimate,-,,
common__join59,FCT2_5 as FCT_ Secondary estimate,intermediate,derived,FCT2_5 as FCT_ Secondary estimate,FCT2_5 as FCT_ Secondary estimate,-,,
common__join60,FCT_ID,intermediate,direct,FCT_ID,FCT_ID,-,,
common__join60,FCT_CD,intermediate,direct,FCT_CD,FCT_CD,-,,
common__join60,FCT_year,intermediate,direct,FCT_year,FCT_year,-,,
common__join60,_ FCT_period,intermediate,derived,_ FCT_period,_ FCT_period,-,,
common__join60,FCT_month,intermediate,derived,"_ if(FCT_period = 'A',9,3)",_ CASE WHEN FCT_period = 'A' THEN 9 ELSE 3 END,-,,
common__join60,"FCT_year & if(FCT_period = 'A','09','03') & FCT_CD as FCT_Year/ Month CD",intermediate,derived,"FCT_year & if(FCT_period = 'A','09','03') & FCT_CD as FCT_Year/ Month CD",FCT_year || CASE WHEN FCT_period = 'A' THEN '09' ELSE '03' END || FCT_CD as FCT_Year/ Month CD,-,,
common__join60,FCT1_6 as FCT_ 1st estimate,intermediate,derived,FCT1_6 as FCT_ 1st estimate,FCT1_6 as FCT_ 1st estimate,-,,
common__join60,FCT2_6 as FCT_ Secondary estimate,intermediate,derived,FCT2_6 as FCT_ Secondary estimate,FCT2_6 as FCT_ Secondary estimate,-,,
common__join61,Occurrence date as Occurrence date_ORG,intermediate,derived,Occurrence date as Occurrence date_ORG,Occurrence date as Occurrence date_ORG,-,,
common__join61,Working day serial number as working day serial number,intermediate,derived,Working day serial number as working day serial number,Working day serial number as working day serial number,-,,
common__join61,Working day as occurrence date,intermediate,derived,Working day as occurrence date,Working day as occurrence date,-,,
KADOU_NISUU_TEMP,Distinct year and month asYear Month 2,intermediate,derived,Distinct year and month asYear Month 2,Distinct year and month asYear Month 2,-,,
KADOU_NISUU_TEMP,Accrual date asoccurrence date 2,intermediate,derived,Accrual date asoccurrence date 2,Accrual date asoccurrence date 2,-,,
KADOU_NISUU_TEMP,Distinct year and month asYear Month 2,intermediate,derived,Distinct year and month asYear Month 2,Distinct year and month asYear Month 2,-,,
KADOU_NISUU_TEMP,Accrual date asoccurrence date 2,intermediate,derived,Accrual date asoccurrence date 2,Accrual date asoccurrence date 2,-,,
table_63,Max( occurrence date 2) as maximum occurrence date,intermediate,derived,Max( occurrence date 2) as maximum occurrence date,MAX(occurrence date 2) as maximum occurrence date,-,,
KADOU_NISUU_TEMP__join64,"left(CDATE,4)&'-'&mid(CDATE,6,2)as year month 2",intermediate,derived,"left(CDATE,4)&'-'&mid(CDATE,6,2)as year month 2","LEFT(CDATE, 4) || '-' || SUBSTR(CDATE, 6, 2)as year month 2",-,,
KADOU_NISUU_TEMP__join64,CDATE as occurrence date 2,intermediate,derived,CDATE as occurrence date 2,CDATE as occurrence date 2,-,,
KADOU_NISUU_TEMP2,year month 2 as year month,intermediate,derived,year month 2 as year month,year month 2 as year month,-,,
KADOU_NISUU_TEMP2,Count ( occurrence date 2) as number of working days,intermediate,aggregate,Count ( occurrence date 2) as number of working days,COUNT(occurrence date 2) as number of working days,-,,
KADOU_NISUU_TEMP2,year month 2 as year month,intermediate,derived,year month 2 as year month,year month 2 as year month,-,,
KADOU_NISUU_TEMP2,Count ( occurrence date 2) as number of working days,intermediate,aggregate,Count ( occurrence date 2) as number of working days,COUNT(occurrence date 2) as number of working days,-,,
table_66,classification,intermediate,direct,classification,classification,-,,
table_66,FD,intermediate,direct,FD,FD,-,,
table_66,Purchase classification code,intermediate,derived,Purchase classification code,Purchase classification code,-,,
table_66,branch code,intermediate,derived,branch code,branch code,-,,
table_66,department code,intermediate,derived,department code,department code,-,,
table_66,channel code,intermediate,derived,channel code,channel code,-,,
table_66,management,intermediate,direct,management,management,-,,
table_66,Product category name,intermediate,derived,Product category name,Product category name,-,,
table_66,Product classification name,intermediate,derived,Product classification name,Product classification name,-,,
table_66,FD major classification order,intermediate,derived,FD major classification order,FD major classification order,-,,
table_66,FD medium classification order,intermediate,derived,FD medium classification order,FD medium classification order,-,,
table_66,year,intermediate,direct,year,year,-,,
table_66,year and month,intermediate,derived,year and month,year and month,-,,
table_66,period,intermediate,direct,period,period,-,,
table_66,quarter,intermediate,direct,quarter,quarter,-,,
table_66,Month,intermediate,direct,Month,Month,-,,
table_66,budget number,intermediate,derived,budget number,budget number,-,,
table_66,budget,intermediate,direct,budget,budget,-,,
common__join67,year and month,intermediate,derived,year and month,year and month,-,,
common__join67,Number of working days,intermediate,derived,Number of working days,Number of working days,-,,
BUD_LOAD_WRAP,classification,intermediate,direct,classification,classification,yosan_number_of_units_including_construction.classification,,
BUD_LOAD_WRAP,FD,intermediate,direct,FD,FD,yosan_number_of_units_including_construction.FD,,
BUD_LOAD_WRAP,Purchase classification code,intermediate,derived,Purchase classification code,Purchase classification code,yosan_number_of_units_including_construction.Purchase classification code,,
BUD_LOAD_WRAP,year,intermediate,direct,year,year,yosan_number_of_units_including_construction.year,,
BUD_LOAD_WRAP,year and month,intermediate,derived,year and month,year and month,"yosan_number_of_units_including_construction.year, yosan_number_of_units_including_construction.Month",,
BUD_LOAD_WRAP,period,intermediate,direct,period,period,yosan_number_of_units_including_construction.period,,
BUD_LOAD_WRAP,quarter,intermediate,direct,quarter,quarter,yosan_number_of_units_including_construction.quarter,,
BUD_LOAD_WRAP,Month,intermediate,direct,Month,Month,yosan_number_of_units_including_construction.Month,,
BUD_LOAD_WRAP,branch code,intermediate,derived,branch code,branch code,yosan_number_of_units_including_construction.branch code,,
BUD_LOAD_WRAP,department code,intermediate,derived,department code,department code,yosan_number_of_units_including_construction.department code,,
BUD_LOAD_WRAP,channel code,intermediate,derived,channel code,channel code,yosan_number_of_units_including_construction.channel code,,
BUD_LOAD_WRAP,management,intermediate,direct,management,management,yosan_number_of_units_including_construction.management,,
BUD_LOAD_WRAP,Product category name,intermediate,derived,Product category name,Product category name,"yosan_number_of_units_including_construction.Product, yosan_number_of_units_including_construction.category, yosan_number_of_units_including_construction.name",,
BUD_LOAD_WRAP,Product classification name,intermediate,derived,Product classification name,Product classification name,"yosan_number_of_units_including_construction.Product, yosan_number_of_units_including_construction.classification, yosan_number_of_units_including_construction.name",,
BUD_LOAD_WRAP,FD major classification order,intermediate,derived,FD major classification order,FD major classification order,yosan_number_of_units_including_construction.FD major classification order,,
BUD_LOAD_WRAP,FD medium classification order,intermediate,derived,FD medium classification order,FD medium classification order,yosan_number_of_units_including_construction.FD medium classification order,,
BUD_LOAD_WRAP,budget number,intermediate,derived,budget number,budget number,"yosan_number_of_units_including_construction.budget, yosan_number_of_units_including_construction.number",,
BUD_LOAD_WRAP,budget,intermediate,direct,budget,budget,yosan_number_of_units_including_construction.budget,,
BUD_LOAD_WRAP,Budget number / working days as standard wrap number,intermediate,derived,Budget number / working days as standard wrap number,Budget number / working days as standard wrap number,yosan_number_of_units_including_construction.Budget number / working days 	as standard wrap number,,
BUD_LOAD_WRAP,Budget / working days as standard wrap amount,intermediate,derived,Budget / working days as standard wrap amount,Budget / working days as standard wrap amount,yosan_number_of_units_including_construction.Budget / working days 		as standard wrap amount,,
BUD_LOAD_WRAP,classification,intermediate,direct,classification,classification,yosan_number_of_units_including_construction.classification,,
BUD_LOAD_WRAP,FD,intermediate,direct,FD,FD,yosan_number_of_units_including_construction.FD,,
BUD_LOAD_WRAP,year,intermediate,direct,year,year,yosan_number_of_units_including_construction.year,,
BUD_LOAD_WRAP,year and month,intermediate,derived,year and month,year and month,"yosan_number_of_units_including_construction.year, yosan_number_of_units_including_construction.Month",,
BUD_LOAD_WRAP,period,intermediate,direct,period,period,yosan_number_of_units_including_construction.period,,
BUD_LOAD_WRAP,quarter,intermediate,direct,quarter,quarter,yosan_number_of_units_including_construction.quarter,,
BUD_LOAD_WRAP,Month,intermediate,direct,Month,Month,yosan_number_of_units_including_construction.Month,,
BUD_LOAD_WRAP,Product category name,intermediate,derived,Product category name,Product category name,"yosan_number_of_units_including_construction.Product, yosan_number_of_units_including_construction.category, yosan_number_of_units_including_construction.name",,
BUD_LOAD_WRAP,Product classification name,intermediate,derived,Product classification name,Product classification name,"yosan_number_of_units_including_construction.Product, yosan_number_of_units_including_construction.classification, yosan_number_of_units_including_construction.name",,
BUD_LOAD_WRAP,budget number,intermediate,derived,budget number,budget number,"yosan_number_of_units_including_construction.budget, yosan_number_of_units_including_construction.number",,
BUD_LOAD_WRAP,Budget number / working days as standard number of wraps,intermediate,derived,Budget number / working days as standard number of wraps,Budget number / working days as standard number of wraps,"yosan_number_of_units_including_construction.Budget, yosan_number_of_units_including_construction.number, yosan_number_of_units_including_construction.working, yosan_number_of_units_including_construction.days, yosan_number_of_units_including_construction.standard, yosan_number_of_units_including_construction.of, yosan_number_of_units_including_construction.wraps",,
ACT_LOAD_WRAP_TEMP__join69,classification,intermediate,direct,classification,classification,yosan_number_of_units_including_construction.classification,,
ACT_LOAD_WRAP_TEMP__join69,FD,intermediate,direct,FD,FD,yosan_number_of_units_including_construction.FD,,
ACT_LOAD_WRAP_TEMP__join69,Purchase classification code,intermediate,derived,Purchase classification code,Purchase classification code,"yosan_number_of_units_including_construction.Purchase, yosan_number_of_units_including_construction.classification, yosan_number_of_units_including_construction.code",,
ACT_LOAD_WRAP_TEMP__join69,Accrual date,intermediate,derived,Accrual date,Accrual date,"yosan_number_of_units_including_construction.Accrual, yosan_number_of_units_including_construction.date",,
ACT_LOAD_WRAP_TEMP__join69,year,intermediate,direct,year,year,yosan_number_of_units_including_construction.year,,
ACT_LOAD_WRAP_TEMP__join69,year and month,intermediate,derived,year and month,year and month,"yosan_number_of_units_including_construction.year, yosan_number_of_units_including_construction.Month",,
ACT_LOAD_WRAP_TEMP__join69,period,intermediate,direct,period,period,yosan_number_of_units_including_construction.period,,
ACT_LOAD_WRAP_TEMP__join69,quarter,intermediate,direct,quarter,quarter,yosan_number_of_units_including_construction.quarter,,
ACT_LOAD_WRAP_TEMP__join69,Month,intermediate,direct,Month,Month,yosan_number_of_units_including_construction.Month,,
ACT_LOAD_WRAP_TEMP__join69,branch code,intermediate,derived,branch code,branch code,"yosan_number_of_units_including_construction.branch, yosan_number_of_units_including_construction.code",,
ACT_LOAD_WRAP_TEMP__join69,department code,intermediate,derived,department code,department code,"yosan_number_of_units_including_construction.department, yosan_number_of_units_including_construction.code",,
ACT_LOAD_WRAP_TEMP__join69,channel code,intermediate,derived,channel code,channel code,"yosan_number_of_units_including_construction.channel, yosan_number_of_units_including_construction.code",,
ACT_LOAD_WRAP_TEMP__join69,management,intermediate,direct,management,management,yosan_number_of_units_including_construction.management,,
ACT_LOAD_WRAP_TEMP__join69,Product category name,intermediate,derived,Product category name,Product category name,"yosan_number_of_units_including_construction.Product, yosan_number_of_units_including_construction.category, yosan_number_of_units_including_construction.name",,
ACT_LOAD_WRAP_TEMP__join69,Product classification name,intermediate,derived,Product classification name,Product classification name,"yosan_number_of_units_including_construction.Product, yosan_number_of_units_including_construction.classification, yosan_number_of_units_including_construction.name",,
ACT_LOAD_WRAP_TEMP__join69,FD major classification order,intermediate,derived,FD major classification order,FD major classification order,"yosan_number_of_units_including_construction.FD, yosan_number_of_units_including_construction.major, yosan_number_of_units_including_construction.classification",,
ACT_LOAD_WRAP_TEMP__join69,FD medium classification order,intermediate,derived,FD medium classification order,FD medium classification order,"yosan_number_of_units_including_construction.FD, yosan_number_of_units_including_construction.medium, yosan_number_of_units_including_construction.classification",,
ACT_LOAD_WRAP_TEMP__join69,budget number,intermediate,derived,budget number,budget number,"yosan_number_of_units_including_construction.budget, yosan_number_of_units_including_construction.number",,
ACT_LOAD_WRAP_TEMP__join69,budget,intermediate,direct,budget,budget,yosan_number_of_units_including_construction.budget,,
ACT_LOAD_WRAP_TEMP__join69,standard number of wraps,intermediate,derived,standard number of wraps,standard number of wraps,"yosan_number_of_units_including_construction.standard, yosan_number_of_units_including_construction.number, yosan_number_of_units_including_construction.of, yosan_number_of_units_including_construction.wraps",,
ACT_LOAD_WRAP_TEMP__join69,Standard wrap amount,intermediate,derived,Standard wrap amount,Standard wrap amount,"yosan_number_of_units_including_construction.Standard, yosan_number_of_units_including_construction.wrap, yosan_number_of_units_including_construction.amount",,
ACT_LOAD_WRAP,classification as category 2,intermediate,derived,classification as category 2,classification as category 2,-,,
ACT_LOAD_WRAP,Accrual date as occurrence date 2,intermediate,derived,Accrual date as occurrence date 2,Accrual date as occurrence date 2,-,,
ACT_LOAD_WRAP,year as year 2,intermediate,direct,year as year 2,year as year 2,-,,
ACT_LOAD_WRAP,year and month as Year Month 2,intermediate,derived,year and month as Year Month 2,year and month as Year Month 2,-,,
ACT_LOAD_WRAP,term as period 2,intermediate,derived,term as period 2,term as period 2,-,,
ACT_LOAD_WRAP,quarter as quarter 2,intermediate,direct,quarter as quarter 2,quarter as quarter 2,-,,
ACT_LOAD_WRAP,Month as month 2,intermediate,derived,Month as month 2,Month as month 2,-,,
ACT_LOAD_WRAP,Year & Year Month & Period & Quarter & Month as Consolidation Key 4,intermediate,derived,Year & Year Month & Period & Quarter & Month as Consolidation Key 4,Year || Year Month || Period || Quarter || Month as Consolidation Key 4,-,,
ACT_LOAD_WRAP,Year & term & department code as concatenation key 5,intermediate,derived,Year & term & department code as concatenation key 5,Year || term || department code as concatenation key 5,-,,
ACT_LOAD_WRAP,FD2,intermediate,direct,FD,FD,-,,
ACT_LOAD_WRAP,Purchase classification code as Purchase classification code 2,intermediate,derived,Purchase classification code as Purchase classification code 2,Purchase classification code as Purchase classification code 2,-,,
ACT_LOAD_WRAP,Product category name as Product classification name 2,intermediate,derived,Product category name as Product classification name 2,Product category name as Product classification name 2,-,,
ACT_LOAD_WRAP,Product classification name as Product classification name 2,intermediate,derived,Product classification name as Product classification name 2,Product classification name as Product classification name 2,-,,
ACT_LOAD_WRAP,FD major classification order as FD major classification order 2,intermediate,derived,FD major classification order as FD major classification order 2,FD major classification order as FD major classification order 2,-,,
ACT_LOAD_WRAP,FD medium classification order as FD medium classification order 2,intermediate,derived,FD medium classification order as FD medium classification order 2,FD medium classification order as FD medium classification order 2,-,,
ACT_LOAD_WRAP,Branch code as branch code 2,intermediate,derived,Branch code as branch code 2,Branch code as branch code 2,-,,
ACT_LOAD_WRAP,Department code as department code 2,intermediate,derived,Department code as department code 2,Department code as department code 2,-,,
ACT_LOAD_WRAP,channel code as channel code 2,intermediate,derived,channel code as channel code 2,channel code as channel code 2,-,,
ACT_LOAD_WRAP,"Year &num( month ,'00') & branch code as year month branch code 2",intermediate,derived,"Year &num( month ,'00') & branch code as year month branch code 2",Year || TO_NUMBER(month) || branch code as year month branch code 2,-,Yes,Function 'num()' received 2 args but mapping uses 1 - extra arguments dropped; review.
ACT_LOAD_WRAP,"Year &num( month ,'00') & channel code as year month channel code 2",intermediate,derived,"Year &num( month ,'00') & channel code as year month channel code 2",Year || TO_NUMBER(month) || channel code as year month channel code 2,-,Yes,Function 'num()' received 2 args but mapping uses 1 - extra arguments dropped; review.
ACT_LOAD_WRAP,"if(len( purchase classification code )>0, Year & num( month ,'00') & Purchase classification code , Null() ) as year month purchase classification 2",intermediate,derived,"if(len( purchase classification code )>0, Year & num( month ,'00') & Purchase classification code , Null() ) as year month purchase classification 2",CASE WHEN LENGTH(purchase classification code)>0 THEN Year || TO_NUMBER(month) || Purchase classification code ELSE NULL END as year month purchase classification 2,-,Yes,Function 'num()' received 2 args but mapping uses 1 - extra arguments dropped; review.
ACT_LOAD_WRAP,management as management 2,intermediate,direct,management as management 2,management as management 2,-,,
ACT_LOAD_WRAP,Number of units as unit count 2,intermediate,derived,Number of units as unit count 2,Number of units as unit count 2,-,,
ACT_LOAD_WRAP,Actual as actual 2,intermediate,derived,Actual as actual 2,Actual as actual 2,-,,
ACT_LOAD_WRAP,Budget number as budget number 2,intermediate,derived,Budget number as budget number 2,Budget number as budget number 2,-,,
ACT_LOAD_WRAP,budget2,intermediate,direct,budget,budget,-,,
ACT_LOAD_WRAP,cost2,intermediate,derived,_ cost price,_ cost price,-,,
ACT_LOAD_WRAP,_ Information NO as Information NO2,intermediate,derived,_ Information NO as Information NO2,_ Information NO as Information NO2,-,,
ACT_LOAD_WRAP,standard number of wraps,intermediate,derived,standard number of wraps,standard number of wraps,-,,
ACT_LOAD_WRAP,Standard wrap amount,intermediate,derived,Standard wrap amount,Standard wrap amount,-,,
ACT_LOAD_WRAP,"Left( year, month , 4) as CY year 2",intermediate,derived,"Left( year, month , 4) as CY year 2","LEFT(year, month) as CY year 2",-,Yes,Function 'Left()' received 3 args but mapping uses 2 - extra arguments dropped; review.
ACT_LOAD_WRAP,"if(Right( year/month ,2)<='06' ,'A' ,'B' ) as CY period 2",intermediate,derived,"if(Right( year/month ,2)<='06' ,'A' ,'B' ) as CY period 2","CASE WHEN RIGHT(year/month, 2)<='06' THEN 'A' ELSE 'B' END as CY period 2",-,,
ACT_LOAD_WRAP,"if(Right( year/month ,2)<='03' ,'Q1' ,if(Right( year/month ,2)<='06' ,'Q2' ,if(Right( year/month ,2)<='09' ,'Q3' ,'Q4' ) ) ) as CY quarter 2",intermediate,derived,"if(Right( year/month ,2)<='03' ,'Q1' ,if(Right( year/month ,2)<='06' ,'Q2' ,if(Right( year/month ,2)<='09' ,'Q3' ,'Q4' ) ) ) as CY quarter 2","CASE WHEN RIGHT(year/month, 2)<='03' THEN 'Q1' ELSE CASE WHEN RIGHT(year/month, 2)<='06' THEN 'Q2' ELSE CASE WHEN RIGHT(year/month, 2)<='09' THEN 'Q3' ELSE 'Q4' END END END as CY quarter 2",-,,
ACT_LOAD_WRAP,dummy,intermediate,constant,'','',-,,
ACT_LOAD_WRAP__join71,"20'&left( year ,2) asyear2",intermediate,derived,"'20'&left( year ,2) asyear2","'20' || LEFT(year, 2) asyear2",-,,
ACT_LOAD_WRAP__join71,"right( year , 1) as period 2",intermediate,derived,"right( year , 1) as period 2","RIGHT(year, 1) as period 2",-,,
ACT_LOAD_WRAP__join71,channel code as channel code 2,intermediate,derived,channel code as channel code 2,channel code as channel code 2,-,,
ACT_LOAD_WRAP__join71,channel as channel 2,intermediate,direct,channel as channel 2,channel as channel 2,-,,
ACT_LOAD_WRAP__join71,Channel code SORT as Channel code SORT2,intermediate,derived,Channel code SORT as Channel code SORT2,Channel code SORT as Channel code SORT2,-,,
ACT_LOAD_WRAP__join72,year2,intermediate,derived,"'20'&left( year ,2)","'20' || LEFT(year, 2)",-,,
ACT_LOAD_WRAP__join72,"right( year , 1) as period 2",intermediate,derived,"right( year , 1) as period 2","RIGHT(year, 1) as period 2",-,,
ACT_LOAD_WRAP__join72,Business department as business department 2,intermediate,derived,Business department as business department 2,Business department as business department 2,-,,
ACT_LOAD_WRAP__join72,Branch code as branch code 2,intermediate,derived,Branch code as branch code 2,Branch code as branch code 2,-,,
ACT_LOAD_WRAP__join72,Branch name as branch name2,intermediate,derived,Branch name as branch name2,Branch name as branch name2,-,,
ACT_LOAD_WRAP__join72,Branch name SORT as Branch name SORT2,intermediate,derived,Branch name SORT as Branch name SORT2,Branch name SORT as Branch name SORT2,-,,
ACT_LOAD_WRAP__join73,*,staging,constant,*,*,-,,
MASTER_FD3,Distinct Management product classification as management 2,staging,derived,Distinct Management product classification as management 2,Distinct Management product classification as management 2,"unknown_source.Management, unknown_source.product, unknown_source.classification, unknown_source.management",,
MASTER_FD3,Amount Wrap Management Product as Amount Wrap Management Product 2,staging,derived,Amount Wrap Management Product as Amount Wrap Management Product 2,Amount Wrap Management Product as Amount Wrap Management Product 2,"unknown_source.Amount, unknown_source.Wrap, unknown_source.Management, unknown_source.Product",,
MASTER_FD3,Quantity wrap management product as Quantity wrap management product 2,staging,derived,Quantity wrap management product as Quantity wrap management product 2,Quantity wrap management product as Quantity wrap management product 2,"unknown_source.Quantity, unknown_source.wrap, unknown_source.management, unknown_source.product",,
